source_id,title,review_status,relevance_status,mapping_rows,mapped_knowledge_count,mapped_knowledge_ids,coverage_disposition,coverage_basis,required_follow_up
SRC-GDRIVE-ROOT-0001,Supplied FedEx Ground corpus folder,INACCESSIBLE,POTENTIALLY_RELEVANT,0,0,,INACCESSIBLE,The connected Drive account returns zero children for the exact folder URL and no folder result for a Chat Bot search; the browser-acquired ZIP/direct-file snapshot is inventoried separately.,Retry connector/API identity verification if access changes; do not infer missing folder contents.
SRC-GDRIVE-BROWSER-ROOT-0001,Chat Bot,FULLY_REVIEWED,HIGH_RELEVANCE,0,0,,REVIEWED_CONTAINER_CHILDREN_CARRY_EVIDENCE,This is the reviewed folder container; its 17 direct child files carry substantive evidence and mappings.,Reconcile any future visible child against the inventory and archive before extraction.
SRC-GDRIVE-FILE-0001,Customer Experience Quick Reference MGB119110625.pdf,FULLY_REVIEWED,HIGH_RELEVANCE,11,11,KNO-DEL-BUS-OP201-001;KNO-DEL-CLASSIFICATION-001;KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-PPOD-001;KNO-DEL-PREMIUM-WINDOW-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SCAN-INTEGRITY-001;KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001;KNO-SEC-ROUTE-001,MAPPED_OPERATIONAL_EVIDENCE,11 exact mapping row(s) support 11 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0002,CustomerExperienceGuideUS10282024.pdf,FULLY_REVIEWED,HIGH_RELEVANCE,20,15,KNO-COMMS-MEDIA-001;KNO-CX-APPEARANCE-001;KNO-DEL-ALCOHOL-001;KNO-DEL-ATTEMPT-LIMIT-001;KNO-DEL-CLASSIFICATION-001;KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SCAN-INTEGRITY-001;KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001;KNO-DEL-TOBACCO-001;KNO-PUP-PACKAGING-001;KNO-PUP-SCAN-INTEGRITY-001;KNO-PUP-SERVICE-TYPES-001,MAPPED_OPERATIONAL_EVIDENCE,20 exact mapping row(s) support 15 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0003,FedEx_Driver_Bot_Scenarios.xlsx,FULLY_REVIEWED,SECONDARY_REFERENCE,0,0,,SECONDARY_REFERENCE_NO_AUTHORITY,The 78-row workbook is fully reviewed but remains a secondary scenario/reference source; unsupported proposed answers are excluded from authoritative evidence.,Use its scenarios only for adversarial gap discovery until each claim has an authoritative primary source.
SRC-GDRIVE-FILE-0004,Focus on Package Placement.pdf,FULLY_REVIEWED,HIGH_RELEVANCE,9,3,KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-PPOD-001;KNO-DEL-SCAN-INTEGRITY-001,MAPPED_OPERATIONAL_EVIDENCE,9 exact mapping row(s) support 3 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0005,FORGE Business Closure 220rev6102025.pdf,FULLY_REVIEWED,HIGH_RELEVANCE,1,1,KNO-FORGE-BUSINESS-CLOSURE-MSG-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0006,FORGE Call Tags 220rev6102025.pdf,FULLY_REVIEWED,HIGH_RELEVANCE,4,2,KNO-FORGE-CALLTAG-SCOPE-001;KNO-PUP-CALLTAG-FRAUD-001,MAPPED_OPERATIONAL_EVIDENCE,4 exact mapping row(s) support 2 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0007,FORGE Delayed Login 250rev6102025.pdf,FULLY_REVIEWED,HIGH_RELEVANCE,1,1,KNO-FORGE-DELAYED-LOGIN-001,MAPPED_OPERATIONAL_EVIDENCE,1 exact mapping row(s) support 1 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
SRC-GDRIVE-FILE-0008,FORGE PD 280 Application Guide FXG V0300812025.pdf,FULLY_REVIEWED,HIGH_RELEVANCE,89,52,KNO-DEL-ALT-SIGNATURE-001;KNO-DEL-BUS-OP201-001;KNO-DEL-COD-MULTI-001;KNO-DEL-CRITICAL-HEALTH-001;KNO-DEL-HAL-DELIVERY-001;KNO-DEL-HAL-NONHAL-TRANSFER-001;KNO-DEL-HAZMAT-SIGNATURE-001;KNO-DEL-MISDELIVERY-RECOVERY-001;KNO-DEL-PHARMACY-001;KNO-DEL-PPOD-001;KNO-DEL-SENSEAWARE-TAG-001;KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-ISR-001;KNO-FORGE-BULK-001;KNO-FORGE-BULK-TRANSFER-001;KNO-FORGE-BUSINESS-CLOSURE-MSG-001;KNO-FORGE-CALLTAG-SCOPE-001;KNO-FORGE-CAMERA-SCAN-001;KNO-FORGE-COMBINE-DELIVERY-001;KNO-FORGE-COMBO-STOP-001;KNO-FORGE-COMMENT-SCOPE-001;KNO-FORGE-DELETE-SCAN-001;KNO-FORGE-DEVICE-INFO-001;KNO-FORGE-DOWNLOAD-SYNC-001;KNO-FORGE-EDIT-ADDRESS-001;KNO-FORGE-EOD-001;KNO-FORGE-FIRST-LAUNCH-001;KNO-FORGE-LANGUAGE-001;KNO-FORGE-LOGIN-DISPATCH-001;KNO-FORGE-LOGIN-WARNING-001;KNO-FORGE-MANUAL-BARCODE-001;KNO-FORGE-MERGE-PICKUP-001;KNO-FORGE-MESSAGING-001;KNO-FORGE-MULTICODE-001;KNO-FORGE-SPLIT-DELIVERY-001;KNO-FORGE-STANDARD-DELIVERY-001;KNO-FORGE-STANDARD-PICKUP-001;KNO-FORGE-STATUS-SCOPE-001;KNO-FORGE-SYNC-QUEUE-001;KNO-FORGE-TIME-REMINDER-001;KNO-FORGE-UNMANIFESTED-DELIVERY-001;KNO-FORGE-VEHICLE-CHANGE-001;KNO-PUP-CALLTAG-FRAUD-001;KNO-PUP-DROPBOX-CONNECTION-001;KNO-PUP-DROPBOX-EARLY-LAST-001;KNO-PUP-DROPBOX-HOLIDAY-001;KNO-PUP-DROPBOX-SERIAL-001;KNO-PUP-DROPBOX-SETTINGS-001;KNO-PUP-INTERNATIONAL-DOCS-001;KNO-PUP-SENSEAWARE-NOHEALTHY-001;KNO-PUP-UNLISTED-001;KNO-PUP-ZERO-001,MAPPED_OPERATIONAL_EVIDENCE,89 exact mapping row(s) support 52 knowledge record(s) from reviewed source content.,Reconcile open referenced-source obligations and reassess when a newer source version is acquired.
